,company,industry,percentage_laid_off,stage,region
0,Thumbtack,Consumer,14.000000000000002,Series I,West
1,Komodo Health,Healthcare,9.0,Series C,West
2,Pluralsight,Education,20.0,Acquired,West
4,Outschool,Education,25.0,Series D,West
13,C2FO,Finance,2.0,Series H,Midwest
17,ZenLedger,Crypto,10.0,Series B,West
18,Airtable,Product,20.0,Series F,West
22,BlackLine,Finance,5.0,Private Equity,West
24,TechTarget,Marketing,5.0,IPO,Northeast
26,CyCognito,Security,15.0,Series C,West
27,Armis,Security,4.0,Private Equity,West
28,Bakkt,Crypto,15.0,IPO,South
29,Blue Apron,Food,10.0,IPO,Northeast
31,Nerdy,Education,17.0,IPO,Midwest
32,Vanta,Security,14.000000000000002,Series B,West
35,Plaid,Finance,20.0,Series D,West
36,Motive,Transportation,6.0,Series F,West
37,Relativity,Legal,10.0,Private Equity,Midwest
38,Voi,Transportation,13.0,Series D,0
39,Integral Ad Science,Marketing,13.0,Acquired,Northeast
40,Grover,Retail,10.0,Unknown,0
41,Lev,Real Estate,30.0,Series B,Northeast
42,Lithic,Finance,18.0,Series C,Northeast
43,CircleCI,Product,17.0,Series F,West
46,Doma,Finance,40.0,IPO,West
47,BuzzFeed,Media,12.0,IPO,Northeast
48,Weedmaps,Other,25.0,Acquired,West
50,Chipper Cash,Finance,12.5,Series C,West
51,Stash,Finance,8.0,Unknown,Northeast
54,Nextiva,Other,17.0,Private Equity,West
55,OneStudyTeam,Healthcare,25.0,Series D,Northeast
56,Zuora,Finance,11.0,IPO,West
58,Aqua Security,Security,10.0,Series E,Northeast
67,Polly,Finance,15.0,Series C,0
68,Lora DiCarlo,Consumer,100.0,Unknown,0
70,Bizzabo,Marketing,37.0,Series E,Northeast
71,BloomTech,Education,50.0,Unknown,West
72,Netlify,Product,16.0,Series D,West
73,Podium,Support,12.0,Series D,0
74,SQZ Biotech,Healthcare,60.0,IPO,Northeast
75,Strava,Fitness,14.000000000000002,Series F,West
76,Synlogic,Healthcare,25.0,IPO,Northeast
78,DoorDash,Food,6.0,IPO,West
79,Kraken,Crypto,30.0,Unknown,West
80,Happy Money,Finance,34.0,Series D,West
82,Wonder,Food,7.000000000000001,Series B,Northeast
83,Grin,Marketing,13.0,Series B,0
88,Elastic,Data,13.0,IPO,West
94,Bitfront,Crypto,100.0,Unknown,West
95,Codexis,Healthcare,18.0,IPO,West
96,Firework,Retail,10.0,Series B,West
106,Candy Digital,Crypto,33.0,Series A,Northeast
108,BlockFi,Crypto,100.0,Series E,Northeast
111,NCX,Energy,40.0,Series B,West
120,Assure,Finance,100.0,Seed,West
128,Kitopi,Food,10.0,Series C,0
130,GloriFi,Finance,100.0,Unknown,South
132,Carvana,Transportation,8.0,IPO,West
133,Nuro,Transportation,20.0,Series D,West
134,Synthego,Healthcare,20.0,Series E,West
138,StoryBlocks,Media,25.0,Acquired,0
139,Roku,Media,7.000000000000001,IPO,West
144,Capitolis,Finance,25.0,Series D,Northeast
148,Kandji,Other,17.0,Series C,West
149,Morning Brew,Media,14.000000000000002,Acquired,Northeast
151,Amazon,Retail,3.0,IPO,West
152,Cisco,Infrastructure,5.0,IPO,West
155,SimilarWeb,Other,10.0,IPO,Northeast
156,Salsify,Retail,11.0,Series F,Northeast
157,Lokalise,Other,23.0,Series B,Northeast
158,Yotpo,Marketing,9.0,Unknown,Northeast
159,Pear Therapeutics,Healthcare,22.0,IPO,Northeast
162,Homeward,Real Estate,25.0,Unknown,South
165,Kite,Product,100.0,Series A,West
166,UiPath,Data,6.0,IPO,Northeast
167,Asana,Other,9.0,IPO,West
168,OwnBackup,Security,17.0,Series E,Northeast
170,Productboard,Product,20.0,Series D,West
172,Protocol,Media,100.0,Acquired,West
176,CaptivateIQ,Sales,10.0,Series C,West
178,Nirvana Money,Finance,100.0,Unknown,South
180,OfferUp,Retail,19.0,Unknown,West
181,Outside,Media,12.0,Series B,Midwest
182,Rubicon Technologies,Other,11.0,IPO,Midwest
186,Illumina,Healthcare,5.0,IPO,West
188,iFit,Fitness,20.0,Private Equity,0
189,Ribbon,Real Estate,85.0,Series C,Northeast
191,Intercom,Support,13.0,Series D,West
194,Pear Therapeutics,Healthcare,22.0,IPO,Northeast
196,Cloudinary,Media,8.0,Unknown,West
199,Veev,Real Estate,30.0,Series D,West
201,Offerpad,Real Estate,7.000000000000001,IPO,West
203,Juul,Consumer,30.0,Unknown,West
204,Blend,Finance,6.0,IPO,West
207,SoundHound,Other,10.0,IPO,West
209,Ocavu,Crypto,48.0,Series A,0
210,Avast,Security,25.0,Unknown,West
212,SendCloud,Logistics,10.0,Series C,0
214,Wavely,HR,100.0,Unknown,West
216,Meta,Consumer,13.0,IPO,West
217,Redfin,Real Estate,13.0,IPO,West
218,Flyhomes,Real Estate,40.0,Series C,West
220,Root Insurance,Finance,20.0,IPO,Midwest
221,Liftoff,Marketing,15.0,Acquired,West
224,Kabam,Consumer,7.000000000000001,Acquired,West
229,Faze Medicines,Healthcare,100.0,Series B,Northeast
230,RingCentral,Other,10.0,IPO,West
232,Repertoire Immune Medicines,Healthcare,50.0,Series B,Northeast
233,Astra,Aerospace,16.0,IPO,West
235,NanoString,Healthcare,10.0,IPO,West
236,SADA,Other,11.0,Acquired,West
237,Salesforce,Sales,1.0,IPO,West
239,Zendesk,Support,5.0,Acquired,West
241,Code42,Security,15.0,Unknown,Midwest
242,Domino Data Lab,Data,25.0,Series F,West
243,Varonis,Security,5.0,IPO,Northeast
246,Twitter,Consumer,50.0,IPO,West
251,Benitago Group,Retail,14.000000000000002,Series A,Northeast
252,Mythical Games,Crypto,10.0,Series C,West
253,Stripe,Finance,14.000000000000002,Series H,West
254,Lyft,Transportation,13.0,IPO,West
255,Pleo,Finance,15.0,Series C,0
257,Shippo,Logistics,20.0,Series E,West
258,Affirm,Finance,1.0,IPO,West
260,LiveRamp,Marketing,10.0,IPO,West
262,Rubius,Healthcare,82.0,IPO,Northeast
263,Snapdocs,Real Estate,15.0,Series D,West
265,Opendoor,Real Estate,18.0,IPO,West
266,Chime,Finance,12.0,Series G,West
267,Chargebee,Finance,10.0,Series H,West
268,Dapper Labs,Crypto,22.0,Series D,0
271,Iron Ox,Food,50.0,Series C,West
272,Digital Currency Gruop,Crypto,13.0,Unknown,Northeast
277,Upstart,Finance,7.000000000000001,IPO,West
278,Gem,Recruiting,33.0,Series C,West
284,Brightline,Healthcare,20.0,Series C,West
288,EquityZen,Finance,27.0,Series B,Northeast
289,Equitybee,Finance,20.0,Series B,West
291,Fifth Season,Food,100.0,Series B,0
295,Recharge,Finance,17.0,Series B,West
299,MindBody,Fitness,15.0,IPO,0
300,Zillow,Real Estate,5.0,IPO,West
301,Cybereason,Security,17.0,Series F,Northeast
302,Argo AI,Transportation,100.0,Unknown,0
303,GoFundMe,Finance,12.0,Series A,West
304,Fundbox,Finance,42.0,Series D,West
305,Embroker,Finance,12.0,Series C,West
307,Callisto Media,Media,35.0,Series D,West
309,Cerebral,Healthcare,20.0,Series C,West
310,Snyk,Security,14.000000000000002,Series F,Northeast
314,Khoros,Sales,10.0,Private Equity,South
315,F5,Security,1.0,IPO,West
318,Volta,Transportation,54.0,IPO,West
320,Zeus Living,Real Estate,46.0,Series C,West
321,Loom,Product,11.0,Series C,West
324,Roofstock,Real Estate,20.0,Series E,West
325,Starry,Other,50.0,IPO,Northeast
327,AtoB,Finance,30.0,Series B,West
332,Faire,Retail,7.000000000000001,Series G,West
333,Leafly,Retail,21.0,IPO,West
338,Flipboard,Media,21.0,Unknown,West
339,Clear Capital,Real Estate,27.0,Unknown,West
340,Beyond Meat,Food,19.0,IPO,West
344,Playdots,Consumer,100.0,Acquired,Northeast
347,6sense,Sales,10.0,Series E,West
349,Noom,Healthcare,10.0,Series F,Northeast
351,Brex,Finance,11.0,Series D,West
352,Pacaso,Real Estate,30.0,Series C,West
354,Udacity,Education,13.0,Unknown,West
360,Momentive,Marketing,11.0,IPO,West
361,Pavilion Data,Infrastructure,96.0,Series D,West
362,Redesign Health,Healthcare,20.0,Series C,Northeast
363,Nyriad,Infrastructure,33.0,Unknown,South
364,BioMarin,Healthcare,4.0,IPO,West
367,Peloton,Fitness,12.0,IPO,Northeast
369,Turnitin,Education,5.0,Acquired,West
370,Impossible Foods,Food,6.0,Series H,West
373,Foresight Insurance,Finance,40.0,Series B,West
375,Built In,Recruiting,25.0,Series C,Midwest
376,TwinStrand,Healthcare,50.0,Series B,West
377,Homie,Real Estate,13.0,Series B,West
378,Fivetran,Data,5.0,Series D,West
381,ActiveCampaign,Marketing,15.0,Series C,Midwest
384,Spin,Transportation,10.0,Acquired,West
386,Pastel,Food,100.0,Unknown,West
389,Mux,Infrastructure,20.0,Series D,West
392,DocuSign,Sales,9.0,IPO,West
394,Volta,Transportation,10.0,IPO,West
395,Divvy Homes,Real Estate,12.0,Series B,West
400,Foxtrot,Food,3.5000000000000004,Series C,Midwest
402,Pesto,Other,100.0,Seed,West
403,NYDIG,Crypto,33.0,Private Equity,Northeast
406,Kitty Hawk,Aerospace,100.0,Unknown,West
412,Ouster,Transportation,10.0,IPO,West
415,Vesalius Therapeutics,Healthcare,43.0,Series B,Northeast
416,VideoAmp,Marketing,2.0,Series F,West
420,LivePerson,Support,11.0,IPO,Northeast
422,WorkRamp,HR,20.0,Series C,West
424,NextRoll,Marketing,7.000000000000001,Unknown,West
425,Twilio,Other,11.0,IPO,West
430,Rubius,Healthcare,75.0,IPO,Northeast
432,Taboola,Marketing,6.0,IPO,Northeast
433,Patreon,Media,17.0,Series F,West
434,FullStory,Marketing,12.0,Unknown,South
439,Karbon,Other,23.0,Series B,West
440,Rent the Runway,Retail,24.0,IPO,Northeast
447,CommonBond,Finance,100.0,Series D,Northeast
449,Flowhub,Retail,15.0,Unknown,West
454,BigBear.ai,Data,7.000000000000001,IPO,0
460,Intercom,Support,5.0,Series D,West
461,Pendo,Product,5.0,Series F,0
462,Demandbase,Sales,3.0,Series H,West
464,Medly,Healthcare,50.0,Series C,Northeast
466,Brave Care,Healthcare,33.0,Series B,West
468,Juniper Square,Real Estate,14.000000000000002,Series C,West
469,Medium,Media,25.0,Unknown,West
473,Innovaccer,Healthcare,8.0,Series E,West
477,Snap,Consumer,20.0,IPO,West
478,GoodRx,Healthcare,16.0,IPO,West
480,Hippo Insurance,Finance,10.0,IPO,West
483,Apartment List,Real Estate,10.0,Series D,West
486,The Wing,Real Estate,100.0,Series C,Northeast
491,54gene,Healthcare,30.0,Series B,0
497,Argyle,Finance,7.000000000000001,Series B,Northeast
501,Impact.com,Marketing,10.0,Private Equity,West
502,ShipBob,Logistics,7.000000000000001,Series E,Midwest
503,Reali,Real Estate,100.0,Series B,West
504,Loop,Finance,20.0,Series A,0
507,Packable,Retail,20.0,Unknown,Northeast
509,Skedulo,HR,8.0,Series C,West
510,Plato,HR,50.0,Seed,West
511,DataRobot,Data,26.0,Series G,Northeast
514,Mr. Yum,Food,17.0,Series A,0
517,Tufin,Security,10.0,Acquired,Northeast
518,Amperity,Marketing,3.0,Series D,West
519,Wayfair,Retail,5.0,IPO,Northeast
522,New Relic,Infrastructure,5.0,IPO,West
523,Wheel,Healthcare,17.0,Series C,South
525,Thirty Madison,Healthcare,10.0,Series C,Northeast
